# English collocation frequencies derived from the Open American
# National Corpus (OANC), public domain. Built by
# scripts/build_en_collocations.py — see data/collocations/README.md.
# docs=8805 words=18303304 pairs=73744 min_frequency=5
head	collocate	frequency	relation
new	york	5632	noun_noun
states	united	4224	noun_noun
times	york	2404	noun_noun
house	white	1781	noun_noun
expression	gene	1694	noun_noun
bit	little	1609	adjective_noun
angeles	los	1590	noun_noun
clinton	president	1520	noun_noun
hum	hum	1399	adjective_noun
post	washington	1345	noun_noun
acid	amino	1231	noun_noun
cell	line	1216	noun_noun
high	school	1179	adjective_noun
street	wall	1164	noun_noun
bin	ladin	1088	noun_noun
care	health	1052	noun_noun
type	wild	1043	adjective_noun
angeles	times	1039	noun_noun
datum	show	1022	verb_subject
play	role	1001	verb_object
long	term	910	adjective_noun
high	level	897	adjective_noun
journal	street	883	noun_noun
security	social	835	noun_noun
good	pretty	832	adverb_verb
card	credit	787	noun_noun
site	web	787	noun_noun
long	time	776	adjective_noun
additional	file	760	adjective_noun
describe	previously	729	adverb_verb
legal	service	719	adjective_noun
today	usa	706	noun_noun
legal	services	692	noun_noun
breast	cancer	678	noun_noun
cover	story	677	noun_noun
minister	prime	665	noun_noun
federal	government	648	adjective_noun
data	file	645	noun_noun
new	yorker	631	noun_noun
present	study	629	adjective_noun
postal	service	628	noun_noun
bill	clinton	623	noun_noun
past	year	602	adjective_noun
expression	level	593	noun_noun
paper	say	584	verb_subject
bush	george	582	noun_noun
intelligence	report	571	noun_noun
large	number	565	adjective_noun
hong	kong	562	noun_noun
president	vice	559	noun_noun
court	supreme	558	noun_noun
home	nursing	554	noun_noun
aid	legal	551	noun_noun
factor	transcription	544	noun_noun
city	york	516	noun_noun
spend	time	513	verb_object
place	take	491	verb_object
significant	statistically	485	adverb_verb
difference	significant	483	adjective_noun
francisco	san	483	noun_noun
case	study	477	noun_noun
level	low	474	adjective_noun
cell	type	465	noun_noun
factor	risk	458	noun_noun
cell	cycle	455	noun_noun
room	temperature	450	noun_noun
analysis	statistical	439	adjective_noun
cut	tax	436	noun_noun
family	member	432	noun_noun
previous	study	431	adjective_noun
final	rule	430	adjective_noun
interest	rate	414	noun_noun
story	tell	406	verb_object
point	time	399	noun_noun
carolina	north	394	noun_noun
lewinsky	monica	394	noun_noun
administration	clinton	392	noun_noun
high	rate	388	adjective_noun
fiscal	year	386	adjective_noun
show	study	373	verb_subject
cell	culture	372	noun_noun
assistance	legal	371	adjective_noun
information	provide	368	verb_object
anti	antibody	367	adjective_noun
datum	file	363	noun_noun
agency	federal	362	adjective_noun
pcr	product	361	noun_noun
answer	question	359	verb_object
information	security	359	noun_noun
control	internal	354	adjective_noun
good	idea	354	adjective_noun
jersey	new	353	noun_noun
recent	year	353	adjective_noun
law	school	352	noun_noun
lead	times	352	verb_subject
public	school	351	adjective_noun
short	term	348	adjective_noun
additional	data	346	adjective_noun
information	technology	346	noun_noun
income	low	345	adjective_noun
market	stock	345	noun_noun
care	day	344	noun_noun
rna	total	341	adjective_noun
east	middle	340	noun_noun
diego	san	334	noun_noun
result	suggest	334	verb_subject
factor	growth	332	noun_noun
las	vegas	332	noun_noun
hampshire	new	329	noun_noun
change	fold	324	adjective_noun
new	republic	324	noun_noun
cell	death	323	noun_noun
ask	question	322	verb_object
care	child	321	noun_noun
expression	pattern	321	noun_noun
expression	profile	321	noun_noun
human	right	315	adjective_noun
recent	study	315	adjective_noun
good	way	312	adjective_noun
know	people	312	verb_object
deviation	standard	311	adjective_noun
range	wide	308	adjective_noun
class	middle	306	adjective_noun
death	penalty	305	noun_noun
cell	epithelial	303	adjective_noun
find	way	303	verb_object
national	saving	303	adjective_noun
dna	genomic	301	adjective_noun
health	insurance	300	noun_noun
air	force	299	noun_noun
datum	suggest	295	verb_subject
executive	senior	295	adjective_noun
number	total	292	adjective_noun
comments	march	291	noun_noun
paper	report	291	verb_subject
probe	set	290	noun_noun
base	pair	289	noun_noun
civil	war	289	noun_noun
book	read	287	verb_object
small	town	286	adjective_noun
action	affirmative	285	adjective_noun
kenneth	starr	283	noun_noun
clinical	trial	281	adjective_noun
blood	pressure	279	noun_noun
cold	war	279	noun_noun
deal	great	279	adjective_noun
gene	identify	279	verb_object
genomic	sequence	279	adjective_noun
attention	pay	278	verb_object
grand	jury	278	adjective_noun
previously	report	277	adverb_verb
care	take	276	verb_object
school	system	276	noun_noun
bill	bradley	274	noun_noun
dear	prudence	274	noun_noun
high	risk	274	adjective_noun
confidence	interval	273	noun_noun
hum	right	273	adjective_noun
analysis	blot	272	noun_noun
differentially	express	272	adverb_verb
money	spend	272	verb_object
campaign	finance	271	noun_noun
fbi	report	271	noun_noun
forward	look	269	adverb_verb
number	small	269	adjective_noun
people	young	268	adjective_noun
executive	order	267	noun_noun
fdny	interview	265	adjective_noun
department	justice	264	noun_noun
attorney	general	263	noun_noun
come	home	263	adverb_verb
soviet	union	263	noun_noun
high	quality	262	adjective_noun
jones	paula	262	noun_noun
private	sector	261	adjective_noun
test	toxicity	261	noun_noun
civil	right	260	adjective_noun
secret	service	259	noun_noun
counsel	independent	257	adjective_noun
provide	service	257	verb_object
capital	punishment	255	adjective_noun
clinton	hillary	255	noun_noun
foreign	policy	253	adjective_noun
blood	flow	252	noun_noun
additional	datum	251	adjective_noun
comment	march	249	noun_noun
hard	work	248	adverb_verb
important	role	247	adjective_noun
income	tax	247	noun_noun
make	sense	247	verb_object
say	times	247	verb_subject
number	phone	246	noun_noun
financial	statement	244	adjective_noun
accounting	office	243	noun_noun
cell	tumor	243	noun_noun
mexico	new	243	noun_noun
control	group	242	noun_noun
enforcement	law	242	noun_noun
england	new	242	noun_noun
john	mccain	242	noun_noun
low	rate	242	adjective_noun
sample	size	242	noun_noun
hussein	saddam	240	noun_noun
capital	human	239	adjective_noun
man	young	239	adjective_noun
gingrich	newt	237	noun_noun
indicate	result	234	verb_subject
run	story	234	verb_object
control	gun	232	noun_noun
fusion	protein	232	noun_noun
right	right	232	adjective_noun
nations	united	230	noun_noun
right	wing	230	adjective_noun
study	suggest	230	verb_subject
closely	relate	229	adverb_verb
good	time	229	adjective_noun
bush	president	228	noun_noun
national	park	228	noun_noun
arabia	saudi	227	noun_noun
concentration	high	227	adjective_noun
different	type	227	adjective_noun
good	real	225	adverb_verb
book	review	224	noun_noun
dna	sequence	224	noun_noun
home	stay	224	adverb_verb
body	weight	223	noun_noun
good	job	222	adjective_noun
public	service	220	adjective_noun
course	time	219	noun_noun
real	time	219	adjective_noun
magazine	times	217	noun_noun
standard	weekly	217	noun_noun
buy	car	216	verb_object
large	scale	216	adjective_noun
american	people	214	adjective_noun
big	problem	213	adjective_noun
cell	surface	211	noun_noun
people	think	211	verb_subject
secondary	structure	211	adjective_noun
entity	small	209	adjective_noun
high	significantly	209	adverb_verb
woman	young	209	adjective_noun
analysis	show	207	verb_subject
dioxide	sulfur	206	noun_noun
bill	gates	205	noun_noun
organism	test	205	noun_noun
analysis	datum	204	noun_noun
candidate	presidential	204	adjective_noun
datum	expression	204	noun_noun
lead	post	204	verb_subject
long	run	204	adjective_noun
problem	solve	204	verb_object
accession	number	203	noun_noun
acid	fatty	203	noun_noun
cancer	lung	202	noun_noun
department	state	201	noun_noun
flexibility	regulatory	201	noun_noun
friend	good	201	adjective_noun
good	news	201	adjective_noun
evidence	provide	200	verb_object
find	study	200	verb_subject
question	raise	200	verb_object
health	public	199	adjective_noun
life	real	199	adjective_noun
american	association	198	noun_noun
good	place	198	adjective_noun
different	significantly	197	adverb_verb
girl	little	197	adjective_noun
estate	real	196	adjective_noun
edition	late	193	noun_noun
kinase	protein	193	noun_noun
acid	bile	192	noun_noun
cruz	santa	192	noun_noun
gene	product	192	noun_noun
pay	taxis	192	verb_object
spend	year	192	verb_object
reagan	ronald	191	noun_noun
clear	skies	190	noun_noun
conserve	highly	190	adverb_verb
fund	trust	190	noun_noun
immune	response	190	adjective_noun
cancer	cell	189	noun_noun
genome	human	189	adjective_noun
house	random	189	noun_noun
report	world	189	noun_noun
say	story	188	verb_subject
ager	teen	186	noun_noun
analysis	perform	186	verb_object
increase	significantly	186	adverb_verb
adverse	effect	185	adjective_noun
cost	low	185	adjective_noun
game	play	185	verb_object
man	old	185	adjective_noun
approve	manuscript	184	verb_object
bin	laden	184	noun_noun
kill	people	184	verb_object
know	lot	184	verb_object
page	sds	184	noun_noun
price	stock	183	noun_noun
age	group	182	noun_noun
antibody	monoclonal	182	noun_noun
big	deal	182	adjective_noun
bob	dole	182	noun_noun
drug	testing	182	noun_noun
early	stage	182	adjective_noun
final	manuscript	182	adjective_noun
author	read	181	verb_subject
cell	proliferation	181	noun_noun
nyt	report	181	verb_subject
blood	cell	180	noun_noun
federal	register	180	noun_noun
protein	sequence	180	noun_noun
air	pollution	179	noun_noun
department	store	179	noun_noun
book	new	178	adjective_noun
buchanan	pat	178	noun_noun
hcl	tris	178	noun_noun
new	world	178	noun_noun
analysis	reveal	177	verb_subject
daily	telegraph	177	noun_noun
drug	use	177	noun_noun
post	say	177	verb_subject
datum	set	176	noun_noun
force	task	176	noun_noun
relatively	small	176	adverb_verb
sequence	similarity	176	noun_noun
tell	truth	176	verb_object
address	issue	175	verb_object
note	paper	175	verb_subject
level	protein	174	noun_noun
course	golf	173	noun_noun
english	language	173	adjective_noun
hard	time	173	adjective_noun
increase	number	173	verb_object
lot	spend	173	verb_object
encode	protein	172	verb_object
national	security	172	adjective_noun
new	year	172	noun_noun
carolina	south	171	noun_noun
cell	growth	171	noun_noun
association	bar	170	noun_noun
cost	total	170	adjective_noun
department	emergency	170	noun_noun
domain	terminal	170	adjective_noun
war	world	170	noun_noun
conference	press	169	noun_noun
entertainment	weekly	169	noun_noun
life	span	169	noun_noun
page	story	169	noun_noun
capital	gang	168	noun_noun
fox	news	168	noun_noun
information	management	168	noun_noun
nyt	say	168	verb_subject
long	way	167	adjective_noun
nervous	system	167	adjective_noun
people	want	167	verb_subject
virginia	west	167	noun_noun
demonstrate	study	166	verb_subject
growth	rate	166	noun_noun
high	tech	166	adjective_noun
puerto	rico	166	noun_noun
